segLength,misfit_KS_deg,misfit_NW_deg
1,31.5083279309946,35.1756269816868
1,40.8163983074453,58.8451782753943
1,39.8724058328183,28.8567727886627
1,46.2606181827637,71.2614523571015
1,24.4356781758998,63.6821416902593
1,33.080800237031,48.1440194326163
1,30.3944414573554,66.008478928502
1,35.1394247568705,32.9793246621967
1,19.6773475081758,34.795818610339
1,20.140744899676,34.67068603706
1,55.2801067631923,56.3885661861341
1,50.1746322967945,51.3254320932706
1,42.4893907032566,70.0517894462422
1,30.7595631903764,34.8738237610085
1,46.4868169402241,62.6366150850918
1,20.140744899676,34.67068603706
1,30.5897571940619,65.4084035259707
1,19.6773475081758,34.795818610339
1,55.2801067631923,56.3885661861341
1,45.9433592249939,19.2709411092902
1,39.1705361913965,28.6845513888243
1,38.2460961114818,35.8034888808013
1,45.8012091749987,73.6140178293262
1,49.7868495290793,67.7600500863968
1,19.6136672283333,35.3790050119876
1,42.4893907032566,70.0517894462422
1,40.0224853021064,21.6615460068149
1,40.1892779075186,21.8303572618723
1,23.4601572685998,64.4704718259957
1,54.7821565809817,50.6152213380776
1,33.4328505797711,47.8977199661834
1,35.1394247568705,32.9793246621967
1,50.0737661303553,61.9420923642783
1,42.4893907032566,70.0517894462422
1,23.4961524321411,20.4392750847738
1,55.3340498366957,56.5275207877467
1,33.3154555085063,45.0632288023163
1,19.6773475081758,34.795818610339
1,19.6136672283333,35.3790050119876
1,54.7821565809817,50.6152213380776
1,45.1304252258623,20.0836142922402
1,20.0594538140888,34.6865690309403
1,45.2368063890312,19.4126990646684
1,45.6909442463561,46.7699587772415
1,38.2460961114818,35.8034888808013
1,39.4012263276104,22.066206440169
1,45.8012091749987,73.6140178293262
1,40.1583653230121,56.5590718510435
1,16.5885148399923,19.0751591029147
1,51.1445452477725,62.5413124460693
1,35.789748903774,40.5140618205771
1,46.3188667533799,46.6842142914602
1,46.7501539910382,47.1590955303827
1,46.7501539910382,47.1590955303827
1,45.6909442463561,46.7699587772415
1,19.6136672283333,35.3790050119876
1,40.6824699133441,37.4889260243968
1,38.2460961114818,35.8034888808013
1,40.6824699133441,37.4889260243968
1,42.1062976296399,38.8952521682419
1,39.4562376672947,21.2186944670971
1,55.0530209611081,43.8569677176987
1,46.4112554196317,53.1339887517604
1,45.8012091749987,73.6140178293262
1,23.8715961851747,44.006637746869
1,23.6267477984161,27.828721712412
1,46.3699699914567,73.9356221703605
1,46.489723834917,73.8445311011206
1,48.6286484653489,20.0199930550472
1,48.788323312155,19.9812224320105
1,12.7414916741952,58.051836032554
1,13.1136884974777,58.6103665833362
1,12.7414916741952,58.051836032554
1,46.321150714621,20.3264323024183
1,31.8637819595769,65.1966493226876
1,54.6952267791961,55.8274282829945
1,32.7952286266466,45.1011650083382
1,19.917237236385,34.8448821258437
1,20.0763968338098,34.6601500656305
1,35.3921052810467,57.6541762819171
1,16.5885148399924,19.0751591029148
1,39.4562376672947,21.2186944670971
1,51.1445452477725,62.5413124460693
1,31.8384293807474,65.1426641679054
1,34.7097538956028,63.260696067979
